Headline,processed_text
Juror dismissed in Diddy trial over 'inconsistencies',juror dismiss diddi trial inconsist
G7 leaders urge 'de-escalation' but stop short of calling for Israel-Iran ceasefire,g7 leader urg de escal stop short call israel iran ceasefir
'I walked out of rubble': Survivor on how he escaped Air India wreckage,walk rubbl survivor escap air india wreckag
Trump says 'we’re looking at better than a ceasefire' as Iran and Israel exchange more strikes,trump say ’re look well ceasefir iran israel exchang strike
What are Trump's options for dealing with Iran?,trump 's option deal iran
Two people arrested over fatal shooting in Bali,two peopl arrest fatal shoot bali
"Israeli forces kill 51 Palestinians waiting for flour at Gaza aid site, witnesses and rescuers say",isra forc kill 51 palestinian wait flour gaza aid site wit rescuer say
"Israel's smaller, sophisticated military opposes larger Iran",israel 's small sophist militari oppos large iran
Satellite images show damage to Iran missile sites,satellit imag show damag iran missil site
The terrifying moment when Air India plane crashed into a canteen,terrifi moment air india plane crash canteen
Where is Israel's operation heading?,israel 's oper head
Will Smith says Oscars slap fallout was brutal,smith say oscar slap fallout brutal
"Chelsea win in front of 50,000 empty seats - apathy or bad scheduling?","chelsea win front 50,000 empti seat apathi bad schedul"
The teen who filmed the Air India crash video the world saw,teen film air india crash video world see
Can $499 gold Trump phone really be made in US? Experts have their doubts,499 gold trump phone realli make we expert doubt
"Minnesota suspect attempted to kill two other state lawmakers, officials say",minnesota suspect attempt kill two state lawmak offici say
"Israeli forces kill 51 Palestinians waiting for aid in Gaza, witnesses and rescuers say",isra forc kill 51 palestinian wait aid gaza wit rescuer say
What we know about the attack on two Minnesota lawmakers,know attack two minnesota lawmak
WhatsApp to start showing more adverts in messaging app,whatsapp start show advert messag app
Son decision set to be delayed until after Spurs' Asia tour,son decis set delay spur asia tour
"Watch: A trade deal, a family photo and the Middle East - Trump's short G7",watch trade deal famili photo middl east trump 's short g7
'I don't believe it yet': India plane crash victim's brother,not believ yet india plane crash victim 's brother
Williams stars as Thunder move one win away from NBA title,william star thunder move one win away nba titl
Russia and Ukraine fulfil deal to repatriate dead soldiers,russia ukrain fulfil deal repatri dead soldier
Experts question whether $499 gold Trump phone can be US-made,expert question whether 499 gold trump phone we make
Trump has left the G7 early - what are his options for dealing with Iran?,trump leave g7 earli option deal iran
Ed Sheeran's co-writer 'incredibly relieved' as copyright case finally ends,ed sheeran 's co writer incred reliev copyright case final end
Colombian senator in 'extremely critical condition' after being shot,colombian senat extrem critic condit shot
'Hope you get cancer' - Boulter shares her online abuse with BBC,hope get cancer boulter share onlin abus bbc
Watch: Huge traffic queues as people flee Iranian capital,watch huge traffic queue peopl flee iranian capit
Ronaldo loan move to Al-Hilal 'counter-intuitive',ronaldo loan move al hilal counter intuit
Can Canada break its ice hockey curse?,canada break ice hockey cur
Verified video shows Air India plane descending and moment of crash,verifi video show air india plane descend moment crash
"Oxford Street will be pedestrianised as quickly as possible, London mayor says",oxford street pedestrianis quickli possibl london mayor say
What is behind the wave of killings in central Nigeria?,behind wave kill central nigeria
'Woakes return more important than ever to England',woak return import ever england
'I hope you get cancer' - tennis player Boulter reveals scale of online abuse,hope get cancer tenni player boulter reveal scale onlin abus
What the capsizing and relaunching of a warship tells us about North Korea's regime,capsiz relaunch warship tell we north korea 's regim
Warning over TikTok filming by hospital patients,warn tiktok film hospit patient
PC accused of sharing sex video with colleague,pc accus share sex video colleagu
"New captain, new blood: Will Gill's India shock England?",new captain new blood gill 's india shock england
"Transfer news: Son future uncertain, updates & McNulty Q&A",transfer news son futur uncertain updat mcnulti q&a
Trump signs order confirming parts of UK-US tariff deal,trump sign order confirm part uk us tariff deal
How the military capabilities of the two countries compare,militari capabl two countri compar
Watch: BBC at the site of Iranian attack in Israel,watch bbc site iranian attack israel
"Social media now main source of news in US, research suggests",social medium main sourc news us research suggest
"Centrifuges at Iran's Natanz site likely destroyed, nuclear watchdog says",centrifug iran 's natanz site like destroy nuclear watchdog say
Russia's deadliest attack on Kyiv for months kills 15 and wounds dozens,russia 's deadly attack kyiv month kill 15 wound dozen
BBC Verify Live: New satellite imagery shows damage from attack on Iran missile base,bbc verifi live new satellit imageri show damag attack iran missil base
'Don't let beautiful Tehran become Gaza': Iranians tell of shock and confusion,not let beauti tehran becom gaza iranian tell shock confus
